Time,total_population,urban_population_percent,life_expectancy
2000,8109989,14.926,47.129
2001,8223941,15.829,49.021
2002,8372306,16.777,51.032
2003,8567992,16.904,53.368
2004,8791853,16.908,55.491
2005,9026299,16.912,57.316
2006,9270066,16.917,58.714
2007,9523168,16.921,59.965
2008,9781996,16.925,61.134
2009,10043737,16.93,61.958
2010,10309031,16.934,62.54
2011,10576932,16.938,63.261
2012,10840334,16.943,64.009
2013,11101350,16.947,64.426
2014,11368451,16.967,64.94
2015,11642959,17.004,65.298
2016,11930899,17.056,65.737
2017,12230339,17.125,65.941
2018,12531808,17.211,66.251
2019,12835028,17.313,66.437
2020,13146362,17.432,66.774
2021,13461888,17.568,66.072
2022,13776698,17.721,67.129
2023,14094683,17.892,
